Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2019-11-25,69724000,23590000,22420900,84020400,20724000
2019-11-26,63624000,21910000,24620100,105207600,21394000
2019-11-27,60512000,18808000,15184400,65235600,19912000
2019-11-29,38468000,12802000,11977300,46617600,11740000
2019-12-02,78512000,26538000,27418400,94487200,30218000
2019-12-03,67618000,25270000,24066000,114430400,22876000
2019-12-04,53402000,35506000,17574700,67181600,30750000
2019-12-05,56476000,24408000,17869100,74424400,24254000
2019-12-06,62348000,32968000,16403500,106075600,26296000
2019-12-09,48856000,30842000,16687400,128042400,27086000
2019-12-10,50286000,17606000,16476100,90420400,21882000
2019-12-11,41952000,20480000,18856600,78756800,17008000
2019-12-12,61918000,29114000,24612100,137310400,25620000
2019-12-13,54914000,33170000,23845400,133587600,30992000
2019-12-16,62904000,28128000,24144200,128186000,27946000
2019-12-17,72888000,32948000,25425600,114158400,37080000
2019-12-18,67028000,23330000,24129200,116028400,30452000
2019-12-19,53056000,28922000,24958900,98369200,29398000
2019-12-20,103016000,50090000,53477500,275978000,66300000
2019-12-23,42728000,19936000,17718200,98572000,17662000
2019-12-24,17626000,13468000,8989200,48478800,6950000
2019-12-26,120108000,23662000,14520600,93121200,13350000
2019-12-27,123732000,23212000,18412800,146266000,20768000
2019-12-30,73494000,19994000,16348400,144114400,21018000
2019-12-31,50130000,19514000,18369400,100805600,19236000
2020-01-02,80580000,27278000,22622100,135480400,28132000
2020-01-03,75288000,23408000,21116200,146322800,23728000
2020-01-06,81236000,46768000,20813700,118387200,34646000
2020-01-07,80898000,34330000,21634100,108872000,30054000
2020-01-08,70160000,35314000,27746500,132079200,30560000
2020-01-09,63346000,33200000,21385000,170108400,30018000
